genera,Genera Count,Number of Contigs
Cyanothece,2,169
Aciduliprofundum,2,26
Croceicoccus,2,42
Enterobacteriaceae,2,43
Ensifer,2,55
Natrinema,2,60
Nocardioides,2,68
Acidilobus,2,23
Dictyoglomus,2,35
Cryobacterium,2,55
Stanieria,2,57
Spirochaeta,2,44
Dyella,2,57
Spiribacter,2,26
Staphylothermus,2,16
Sphingorhabdus,2,59
Coxiella,2,24
Eggerthella,2,50
Acidianus,2,26
Taylorella,2,20
Acidiphilium,2,49
Desulfuromonas,2,45
Desulfurococcus,2,21
Terriglobus,2,64
Cyclobacterium,2,86
Ferroplasma,2,21
Dehalogenimonas,2,20
Chelatococcus,2,49
Chlorobaculum,2,25
Dehalococcoides,2,21
Chloroflexus,2,73
Chitinophaga,2,91
Wuhan,2,2
Thermoanaerobacterium,2,35
Flavobacteriaceae,2,35
Aeropyrum,2,29
Oceanisphaera,2,41
Frondihabitans,2,55
Muricauda,2,51
Sulfurimonas,2,34
Sulfurihydrogenibium,2,28
Advenella,2,64
Formosa,2,32
Geminocystis,2,57
Sulfurovum,2,25
Parabacteroides,2,82
Dermabacter,2,29
Actinosynnema,2,105
Fictibacillus,2,65
Sedimentisphaera,2,41
Zunongwangia,1,30
Turicibacter,1,19
gamma,1,30
Propionimicrobium,1,15
Oleiphilus,1,34
Tsukamurella,1,33
Pleurocapsa,1,34
Oscillibacter,1,26
Proteiniphilum,1,28
Trueperella,1,20
Opitutaceae,1,39
Oleispira,1,27
Pluralibacter,1,40
Variibacter,1,21
Opitutus,1,41
complete,1,23
Oligotropha,1,22
Zymomonas,1,13
Ureibacillus,1,18
Orientia,1,13
Pragia,1,19
Ornithobacterium,1,20
Prauserella,1,53
Polymorphum,1,32
Polyangium,1,42
Porphyromonadaceae,1,17
Uncultured,1,5
Turneriella,1,22
Verminephrobacter,1,36
Parvularcula,1,16
Verrucomicrobia,1,25
Ostreococcus,1,80
Yangia,1,34
Wenyingzhuangia,1,26
Petrotoga,1,16
Petrimonas,1,30
Wenzhouxiangella,1,17
Parachlamydia,1,15
Xylella,1,16
Persephonella,1,13
Peptoniphilus,1,12
Xylanimonas,1,27
Xanthobacter,1,36
Peptoclostridium,1,15
Pelodictyon,1,23
Wigglesworthia,1,2
Parageobacillus,1,26
Truepera,1,18
Pelagibacterium,1,36
Pelagibaca,1,26
Paraglaciecola,1,42
Paraphotobacterium,1,17
Parasaccharibacter,1,11
Wolinella,1,9
Parascardovia,1,13
Parvibaculum,1,28
Parvimonas,1,10
Phenylobacterium,1,26
Pannonibacter,1,33
Weeksella,1,17
Paenalcaligenes,1,24
Verrucosispora,1,50
Ottowia,1,18
Zobellia,1,37
Plesiomonas,1,28
Vitreoscilla,1,21
Plautia,1,21
Plantactinospora,1,47
Paucibacter,1,41
Owenweeksia,1,27
Oxalobacter,1,16
Planctopirus,1,41
Paenarthrobacter,1,27
Waddlia,1,21
Vulgatibacter,1,42
Piscirickettsia,1,14
Zobellella,1,28
Pimelobacter,1,42
Picrophilus,1,7
Phytobacter,1,34
Palaeococcus,1,9
Paludibacter,1,18
Phycisphaera,1,33
Zhongshania,1,32
Paludisphaera,1,47
Woeseia,1,22
Synechocystis,1,59
Protochlamydia,1,17
Simiduia,1,36
Serinicoccus,1,23
Thermobacillus,1,34
Oenococcus,1,16
Shimwellia,1,17
Shinella,1,45
