genera,Genera Count,Number of Contigs
Porphyromonadaceae,1,219
Propionimicrobium,1,152
Petrotoga,1,179
Pragia,1,266
Pelodictyon,1,221
Petrimonas,1,261
Peptoclostridium,1,165
Peptoniphilus,1,133
Parvibaculum,1,261
Phycisphaera,1,277
Pimelobacter,1,404
Parascardovia,1,156
Palaeococcus,1,123
Paludibacter,1,246
Picrophilus,1,93
Paludisphaera,1,503
Pannonibacter,1,402
Prauserella,1,464
Pseudohongiella,1,236
Polyangium,1,441
Parachlamydia,1,210
Pseudogulbenkiania,1,318
Pseudodesulfovibrio,1,258
Parageobacillus,1,264
Paraglaciecola,1,416
Polymorphum,1,320
Phytobacter,1,360
Paraphotobacterium,1,183
Parasaccharibacter,1,134
Plesiomonas,1,236
Sida,1,1
Pusillimonas,1,279
Thermobifida,1,261
Thermoclostridium,1,205
Thermodesulfatator,1,172
Thermodesulfobium,1,128
Thermodesulfovibrio,1,155
Thermogladius,1,99
Thermogutta,1,353
Thermomicrobium,1,152
Thermomonospora,1,407
Thermoplasmatales,1,101
Thermosediminibacter,1,120
Thermosphaera,1,83
Thermosulfidibacter,1,111
Thermosynechococcus,1,172
Thermothelomyces,1,2664
Thermothielavioides,1,2625
Thermovibrio,1,118
Thermovirga,1,142
Thiobacillus,1,212
Thioclava,1,272
Thermobispora,1,305
Thermobaculum,1,218
Thioflavicoccus,1,293
Thermobacillus,1,295
Syntrophus,1,214
Tacheng,1,4
Taishun,1,1
Tannerella,1,222
Tateyamaria,1,264
Tatlockia,1,219
Tatumella,1,280
Tepidanaerobacter,1,179
Teredinibacter,1,359
Terribacillus,1,256
Tetragenococcus,1,180
Thalassolituus,1,280
Thalassospira,1,309
Thalassotalea,1,254
Theileria,1,636
Thermacetogenium,1,197
Thermaerobacter,1,218
Thermanaerovibrio,1,129
Thermincola,1,204
Thiocystis,1,340
Thiohalobacter,1,235
Syntrophomonas,1,213
Waddlia,1,165
Wenyingzhuangia,1,228
Wenzhouxiangella,1,255
Whenzhou,1,2
Wigglesworthia,1,44
Woeseia,1,321
Wolinella,1,155
Xanthobacter,1,386
Xincheng,1,1
Xylanimonas,1,264
Xylella,1,170
Yangia,1,314
Yongjia,1,1
Zhongshania,1,300
Zobellella,1,310
Zobellia,1,383
Zunongwangia,1,369
Zymomonas,1,160
complete,1,240
gamma,1,344
Weeksella,1,155
Vulgatibacter,1,318
Thiolapillus,1,233
Vitreoscilla,1,257
Thiomicrospira,1,206
Thiomonas,1,229
Thioploca,1,352
Tistrella,1,235
Tobacco,1,1
Tolumonas,1,247
Trichodesmium,1,594
Tropheryma,1,67
Truepera,1,230
Trueperella,1,157
Tsukamurella,1,313
Turicibacter,1,201
Turneriella,1,308
Uncultured,1,72
Ureibacillus,1,252
Variibacter,1,329
Verminephrobacter,1,372
Verrucomicrobia,1,289
Verrucosispora,1,464
Syntrophothermus,1,165
Syntrophobotulus,1,210
Pyrodictium,1,128
Roseibacterium,1,253
Roseovarius,1,321
Rubinisphaera,1,373
Rubrivivax,1,340
Ruminiclostridium,1,296
Ruminococcaceae,1,139
Rummeliibacillus,1,205
Saccharomonospora,1,293
Saccharophagus,1,380
Saccharopolyspora,1,561
Saccharothrix,1,614
Salegentibacter,1,305
Salimicrobium,1,168
Salinarchaeum,1,210
Salinibacter,1,251
Salinicoccus,1,190
Salinispira,1,268
Salinivirga,1,330
Salipiger,1,303
Sandaracinus,1,683
